uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
3HdJWzA5iMRweXuY98Dyzb,0.924,0.723,8,-3.142,0.0466,0.0177,2.61e-05,0.643,126.998
6MxGvnJWqdGS0chQypGXhB,0.802,0.828,1,-3.601,0.0756,0.0217,0.0,0.722,91.983
0wJMDTFRqqzYfBu1LbNBeY,0.865,0.573,5,-5.501,0.0678,0.0863,0.0,0.563,94.999
4ITduRq3rgDD4nuG7hUpWY,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
2lBN9Qv3viRylBqEXMLip1,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
5qNlMrawQu9DeWErxDeKZA,0.896,0.859,11,-4.232,0.21,0.154,0.000109,0.938,93.016
2kAz0WYicCnx9yEuhT0MhL,0.774,0.914,7,-4.739,0.159,0.193,0.0,0.816,98.031
7lTWdUAtKRdaRS0UbQD9y7,0.881,0.696,11,-3.838,0.0797,0.136,4.06e-05,0.781,97.002
5RYVjXky8GkIMEJvNobgWT,0.793,0.737,6,-4.731,0.0785,0.0765,0.0,0.697,167.969
1FdEytNpgLuMXo5EsVWj1f,0.749,0.815,5,-6.381,0.083,0.228,0.00117,0.866,102.218
1tJPPxQ18pJL0MnfS4nQZn,0.881,0.696,11,-3.838,0.0797,0.136,4.06e-05,0.781,97.002
3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,0.0487,0.0317,3.59e-05,0.121,119.987
4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1,-3.112,0.0589,0.165,0.0,0.794,94.968
737gzPI5VAmgUGWiJ9yXuu,0.792,0.895,1,-3.112,0.0587,0.165,0.0,0.793,94.968
4f8mIikzaT5Aw3tV5ftwvL,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
1sZyestTGfOxWKRxdVdKuA,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
0nVlGxtlkx3IX8HEuRo7BN,0.756,0.646,7,-5.795,0.319,0.152,1.81e-05,0.429,176.088
2xABkRsg3JYfM7JCNg0Mao,0.639,0.791,10,-4.443,0.254,0.0275,0.0,0.933,92.603
7KSGzwS26H4ACx4RihLpFf,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
2tgC51q7KZKdYEmrLDJJrA,0.627,0.675,5,-7.125,0.212,0.125,0.0,0.961,79.31
4S3KDmiZJQsd6uLPyvHxSO,0.696,0.668,6,-5.063,0.199,0.361,0.0038,0.761,184.332
3aASdbXPrR8U86sDuEbiOq,0.503,0.548,0,-7.564,0.164,0.0751,0.000234,0.441,94.036
0MDRx3s5qSe0q5MwWJ5zW1,0.756,0.8,1,-3.673,0.0585,0.066,0.0,0.718,128.022
6dR1uxzRh6aewJ3WQg0GY6,0.652,0.595,11,-4.04,0.117,0.15,0.000106,0.421,172.277
6oJWYwInc2wnjNLUW4Vx0T,0.637,0.583,9,-5.686,0.258,0.258,8.19e-05,0.305,176.025
1YQk5vR4YduJFoSzr0kvKT,0.637,0.583,9,-5.686,0.258,0.258,8.19e-05,0.305,176.025
6HplQm7VOFSup5HvIMahU7,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
6ld4zIPweVl6KxdzdRivr3,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
4tKNaV5CxlztGumpxi5F9F,0.689,0.675,0,-4.281,0.32,0.531,3.17e-06,0.604,180.077
3PDf2Xk2fHt3EexYRrVS0j,0.81,0.784,3,-3.223,0.0622,0.0874,0.000166,0.817,88.001
1jonu9vIvWaS012ELrkYWx,0.811,0.812,7,-4.47,0.0635,0.151,0.000362,0.689,87.98
5enzKZ2YzoY4LFaamlRhFV,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
583f0IBk80MRgaTAOZyGDw,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
1LBbGzkIDSEc0RQb9LXgce,0.662,0.788,3,-4.55,0.205,0.0191,0.0,0.711,179.876
5f4rQKuQVqkVuqlUKOCcYr,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
6g9qibs8qNFnG1dFPYp48V,0.789,0.736,2,-6.279,0.0896,0.136,0.0,0.782,81.014
0tQkPXwYjxpC3FWSAuFPqg,0.881,0.696,11,-3.838,0.0797,0.136,4.06e-05,0.781,97.002
2qoKPCtY8GuiSIVO1t5XWB,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
16xB3vOZZwhq0TCnuOqfEh,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
6vKU6pCjacGEgxJylK9WHP,0.876,0.85,1,-5.75,0.163,0.0118,0.0067,0.962,122.666
6sAKc56i3qGXq1Y8fniOnf,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
3VS1hkofsGq4NwkYdAYL1l,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
0sfQW9kNtzBfFBCpN1p3c0,0.749,0.815,5,-6.381,0.083,0.228,0.00117,0.866,102.218
3ijCK8aystm14nXveTlJzr,0.896,0.859,11,-4.232,0.21,0.154,0.000109,0.938,93.016
1XUYJ4xjlNoxQqNWc5Hnho,0.896,0.859,11,-4.232,0.21,0.154,0.000109,0.938,93.016
22V0rqyOn48nni9e9Ct5mR,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
7tHlEZRloAvK2tIYS6wR1b,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
3iJDmx2BxUCXgjatgYfhoe,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
0PyWzcDAflIrRNZrJzmYhE,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
09FYielISRGvCiJVplF81B,0.807,0.803,11,-4.156,0.126,0.6,0.0085,0.706,91.982
0Ysepw3QUt2pyKvsBZ9PGD,0.813,0.81,3,-5.382,0.0809,0.112,1.59e-06,0.632,93.005
1sTJ7xUvsloeRJjwdQyKSB,0.328,0.517,2,-6.124,0.0777,0.266,0.0,0.287,184.446
3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0.0707,0.284,0.0,0.758,100.024
2Cd9iWfcOpGDHLz6tVA3G4,0.766,0.873,11,-6.381,0.143,0.00627,0.0,0.743,126.988
1EBo9H6NjVeZRAlXcXLYq8,0.755,0.767,7,-3.754,0.106,0.0176,0.0,0.232,156.001
6siiFhvZiKR62RpgBmherA,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
3J5Nfej0N8j9h8n1uKCsBb,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
5WigPvAtaOYC0bqkxgVNzd,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
5Mktfl3xR4CNPO0u5QZRal,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
6Vr7Y7H1QwEZ2JSf9enPif,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
39xU2D7t9LWs9EueUtC48K,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
0QrXhLrZEQ7TT5uhlPq2nV,0.776,0.629,0,-6.09,0.0505,0.0268,0.0,0.104,97.066
3U3WDXdwPyih1ZHawJyUWK,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
00PBSElFPJbnIcFS7orAm2,0.835,0.718,7,-5.62,0.0694,0.226,1.99e-06,0.427,92.028
7041VLZqpEKPkK73N7WNbE,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
54kofthDNPNcQVuia0NuDl,0.759,0.843,8,-3.718,0.0913,0.127,0.0,0.56,105.016
6WcRqzZZI5LcN8rpvnDswa,0.855,0.71,1,-5.321,0.0939,0.0426,0.0,0.591,89.977
3oxGJdepSlIwJxjyvtPxXT,0.804,0.786,10,-3.837,0.0735,0.144,0.0,0.575,91.992
1Smucg21g2gBmJ8z9yfW7a,0.841,0.601,0,-7.295,0.223,0.197,3.35e-06,0.362,97.912
5gePc5Ns5P1lBhlSrItWwK,0.891,0.748,1,-3.844,0.0976,0.186,2.06e-06,0.401,94.06
7ECpEQuULU6V63FgImM8sF,0.484,0.593,11,-6.454,0.249,0.317,0.0,0.569,160.143
2slqPwgNcvx17V7RZN8u3f,0.628,0.928,3,-4.431,0.297,0.527,0.0,0.609,130.029
7d6HsxPhjoobvu7hQCvSzb,0.602,0.811,0,-3.128,0.0362,0.0766,0.0,0.807,159.829
098tcbXtmI9O2zvgyvf5xy,0.702,0.749,11,-3.743,0.0327,0.0443,0.0,0.818,138.004
2gZfkS89cEA3AzeatDbW94,0.665,0.804,9,-4.908,0.0344,0.275,0.0,0.888,143.955
4fY0exlqElNjOIDCl3TYUl,0.624,0.903,9,-4.523,0.0521,0.11,0.0,0.68,201.819
1VvCHkeA93oT23OkmAcg3N,0.496,0.715,9,-7.766,0.0469,0.0954,0.0,0.667,195.763
3OLHV5577zhbQ5jnrqwvqS,0.496,0.715,9,-7.766,0.0469,0.0954,0.0,0.667,195.763
0sbaC8xjeLa4CZr07eyszU,0.691,0.973,2,-3.586,0.048,0.126,0.0,0.783,143.961
7vk5JMa1gTHvi1eJkbsMLE,0.712,0.727,2,-3.15,0.162,0.168,0.0,0.465,180.039
4XlkiyJxHnzmkxLQGtyHFW,0.804,0.788,1,-4.586,0.0598,0.118,0.0,0.837,96.007
3WUCtfvF9tIs5iQCYbSu9C,0.62,0.891,4,-4.446,0.0415,0.0722,0.0,0.777,130.984
0WDqaJ9ODAUrmc8nansILJ,0.804,0.788,1,-4.586,0.0598,0.118,0.0,0.837,96.007
7L3KutrPE340fQmYyPJoAP,0.691,0.973,2,-3.586,0.048,0.126,0.0,0.783,143.961
0fVm1yh9WTofuyCTm4FxPk,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
5FnXpfVnx5bIza2T90Sqg0,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
5TiFvMOjuHM55p2IxMvmr9,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
4nChyydft5jq1FpXKuXCCM,0.807,0.606,3,-8.871,0.0872,0.0946,0.0,0.304,92.988
